match_id,date,competition,phase,team_a,team_b,goals_a,goals_b,neutral,knockout,elo_a_pre,elo_b_pre,fifa_rank_a_pre,fifa_rank_b_pre,market_prob_a_pre,market_prob_draw_pre,market_prob_b_pre,squad_quality_a_pre,squad_quality_b_pre,historical_strength_a_pre,historical_strength_b_pre,city,venue_country,source_dataset,source_url,data_quality_note
19530312_Paraguay_vs_Uruguay,1953-03-12,Copa América,unknown_stage_from_source,Paraguay,Uruguay,2,2,1,,1629.226,1637.174,,,,,,,,0.469552,0.715681,Lima,Peru,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19530315_Brazil_vs_Uruguay,1953-03-15,Copa América,unknown_stage_from_source,Brazil,Uruguay,1,0,1,,1830.470,1636.694,,,,,,,,0.653489,0.711933,Lima,Peru,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19530316_Bolivia_vs_Paraguay,1953-03-16,Copa América,unknown_stage_from_source,Bolivia,Paraguay,1,2,1,,1348.616,1629.707,,,,,,,,0.091709,0.467990,Lima,Peru,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19530319_Chile_vs_Ecuador,1953-03-19,Copa América,unknown_stage_from_source,Chile,Ecuador,3,0,1,,1565.526,1249.180,,,,,,,,0.334325,0.024474,Lima,Peru,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19530319_Peru_vs_Brazil,1953-03-19,Copa América,unknown_stage_from_source,Peru,Brazil,1,0,0,,1557.967,1840.838,,,,,,,,0.408090,0.657456,Lima,Peru,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19530323_Brazil_vs_Chile,1953-03-23,Copa América,unknown_stage_from_source,Brazil,Chile,3,2,1,,1805.728,1572.618,,,,,,,,0.649502,0.343208,Lima,Peru,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19530323_Ecuador_vs_Uruguay,1953-03-23,Copa América,unknown_stage_from_source,Ecuador,Uruguay,0,6,1,,1242.089,1626.326,,,,,,,,0.022692,0.704912,Lima,Peru,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19530327_Brazil_vs_Paraguay,1953-03-27,Copa América,unknown_stage_from_source,Brazil,Paraguay,1,2,1,,1814.431,1636.656,,,,,,,,0.653419,0.475048,Lima,Peru,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19530328_Bolivia_vs_Chile,1953-03-28,Copa América,unknown_stage_from_source,Bolivia,Chile,2,2,1,,1341.667,1563.916,,,,,,,,0.090542,0.339527,Lima,Peru,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19530328_Peru_vs_Uruguay,1953-03-28,Copa América,unknown_stage_from_source,Peru,Uruguay,0,3,0,,1593.077,1633.192,,,,,,,,0.419252,0.709861,Lima,Peru,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19530401_Brazil_vs_Paraguay,1953-04-01,Copa América,unknown_stage_from_source,Brazil,Paraguay,2,3,1,,1783.534,1667.553,,,,,,,,0.645717,0.481905,Lima,Peru,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19540616_Austria_vs_Scotland,1954-06-16,FIFA World Cup,unknown_stage_from_source,Austria,Scotland,1,0,1,,1647.017,1621.229,,,,,,,,0.500000,,Zürich,Switzerland,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19540616_Brazil_vs_Mexico,1954-06-16,FIFA World Cup,unknown_stage_from_source,Brazil,Mexico,5,0,1,,1795.806,1603.436,,,,,,,,0.638208,0.000000,Geneva,Switzerland,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19540616_Czechoslovakia_vs_Uruguay,1954-06-16,FIFA World Cup,unknown_stage_from_source,Czechoslovakia,Uruguay,0,2,1,,1588.080,1661.778,,,,,,,,0.629762,0.713316,Bern,Switzerland,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19540616_France_vs_Yugoslavia,1954-06-16,FIFA World Cup,unknown_stage_from_source,France,Yugoslavia,0,1,1,,1574.521,1684.870,,,,,,,,0.363333,0.666667,Lausanne,Switzerland,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19540617_Belgium_vs_England,1954-06-17,FIFA World Cup,unknown_stage_from_source,Belgium,England,4,4,1,,1529.938,1693.841,,,,,,,,0.000000,0.363333,Basel,Switzerland,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19540617_Germany_vs_Turkey,1954-06-17,FIFA World Cup,unknown_stage_from_source,Germany,Turkey,4,1,1,,1715.119,1517.005,,,,,,,,0.553056,,Bern,Switzerland,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19540617_Hungary_vs_South_Korea,1954-06-17,FIFA World Cup,unknown_stage_from_source,Hungary,South Korea,9,0,1,,1784.100,1531.809,,,,,,,,0.719167,,Zürich,Switzerland,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19540617_Switzerland_vs_Italy,1954-06-17,FIFA World Cup,unknown_stage_from_source,Switzerland,Italy,2,1,0,,1502.562,1748.774,,,,,,,,0.454583,0.851212,Lausanne,Switzerland,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19540619_Austria_vs_Czechoslovakia,1954-06-19,FIFA World Cup,unknown_stage_from_source,Austria,Czechoslovakia,5,0,1,,1666.461,1570.422,,,,,,,,0.591000,0.551042,Zürich,Switzerland,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19540619_Brazil_vs_Yugoslavia,1954-06-19,FIFA World Cup,unknown_stage_from_source,Brazil,Yugoslavia,1,1,1,,1812.994,1699.416,,,,,,,,0.644342,0.707857,Lausanne,Switzerland,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19540619_France_vs_Mexico,1954-06-19,FIFA World Cup,unknown_stage_from_source,France,Mexico,3,2,1,,1559.976,1586.249,,,,,,,,0.317857,0.000000,Geneva,Switzerland,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19540619_Scotland_vs_Uruguay,1954-06-19,FIFA World Cup,unknown_stage_from_source,Scotland,Uruguay,0,7,1,,1601.785,1679.436,,,,,,,,0.045000,0.716241,Basel,Switzerland,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19540620_Belgium_vs_Italy,1954-06-20,FIFA World Cup,unknown_stage_from_source,Belgium,Italy,1,4,1,,1539.169,1714.968,,,,,,,,0.063667,0.784028,Lugano,Switzerland,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19540620_Germany_vs_Hungary,1954-06-20,FIFA World Cup,unknown_stage_from_source,Germany,Hungary,3,8,1,,1728.058,1800.554,,,,,,,,0.623333,0.804286,Basel,Switzerland,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19540620_South_Korea_vs_Turkey,1954-06-20,FIFA World Cup,unknown_stage_from_source,South Korea,Turkey,0,7,1,,1515.356,1504.066,,,,,,,,0.000000,0.000000,Geneva,Switzerland,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19540620_Switzerland_vs_England,1954-06-20,FIFA World Cup,unknown_stage_from_source,Switzerland,England,0,2,0,,1536.369,1684.609,,,,,,,,0.510185,0.363333,Bern,Switzerland,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19540623_Germany_vs_Turkey,1954-06-23,FIFA World Cup,unknown_stage_from_source,Germany,Turkey,7,2,1,,1699.124,1548.923,,,,,,,,0.528542,0.590000,Zürich,Switzerland,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19540623_Switzerland_vs_Italy,1954-06-23,FIFA World Cup,unknown_stage_from_source,Switzerland,Italy,4,1,0,,1523.455,1729.341,,,,,,,,0.459167,0.804103,Basel,Switzerland,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19540626_England_vs_Uruguay,1954-06-26,FIFA World Cup,unknown_stage_from_source,England,Uruguay,2,4,1,,1697.523,1712.342,,,,,,,,0.490667,0.721380,Basel,Switzerland,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19540626_Switzerland_vs_Austria,1954-06-26,FIFA World Cup,unknown_stage_from_source,Switzerland,Austria,5,7,0,,1564.232,1692.794,,,,,,,,0.512424,0.681667,Lausanne,Switzerland,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19540627_Brazil_vs_Hungary,1954-06-27,FIFA World Cup,unknown_stage_from_source,Brazil,Hungary,2,4,1,,1806.363,1829.488,,,,,,,,0.640915,0.845625,Bern,Switzerland,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19540627_Germany_vs_Yugoslavia,1954-06-27,FIFA World Cup,unknown_stage_from_source,Germany,Yugoslavia,2,0,1,,1720.002,1706.046,,,,,,,,0.595926,0.664792,Geneva,Switzerland,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19540630_Austria_vs_Germany,1954-06-30,FIFA World Cup,unknown_stage_from_source,Austria,Germany,1,6,1,,1706.875,1742.007,,,,,,,,0.727143,0.636333,Basel,Switzerland,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19540630_Hungary_vs_Uruguay,1954-06-30,FIFA World Cup,unknown_stage_from_source,Hungary,Uruguay,4,2,1,,1850.802,1734.282,,,,,,,,0.862778,0.724167,Lausanne,Switzerland,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19540703_Austria_vs_Uruguay,1954-07-03,FIFA World Cup,unknown_stage_from_source,Austria,Uruguay,3,1,1,,1673.572,1719.456,,,,,,,,0.619375,0.716997,Zürich,Switzerland,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19540704_Germany_vs_Hungary,1954-07-04,FIFA World Cup,unknown_stage_from_source,Germany,Hungary,3,2,1,,1775.310,1865.628,,,,,,,,0.681667,0.876500,Bern,Switzerland,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
19550227_Chile_vs_Ecuador,1955-02-27,Copa América,unknown_stage_from_source,Chile,Ecuador,7,1,0,,1506.898,1235.222,,,,,,,,0.339817,0.017625,Santiago,Chile,martj42/international_results,https://github.com/martj42/international_results,"Resultados oficiales publicos; Elo e historial usan solo partidos previos. Ranking FIFA, mercado, plantilla y fase exacta quedan vacios si no hay fuente real conectada."
