team,appear,advance_group,reach_round16,reach_quarterfinal,reach_semifinal,reach_final,third_place,fourth_place,champion,group_winner,avg_group_points,avg_goals_for,avg_goals_against
New Zealand,1.0,0.28669,0.04216,0.00465,0.0004,3e-05,5e-05,0.00032,0.0,0.02305,1.76999,1.9775,6.21122
Ghana,1.0,0.0998,0.0064,0.0008,0.0001,2e-05,0.0,8e-05,0.0,0.00115,0.86001,0.89003,6.94755
Saudi Arabia,1.0,0.39614,0.03898,0.00592,0.00038,1e-05,4e-05,0.00033,0.0,0.00558,2.14913,2.02714,6.52155
Cape Verde,1.0,0.20384,0.01378,0.00139,0.00017,1e-05,1e-05,0.00015,0.0,0.00165,1.37721,1.37315,6.64867
Haiti,1.0,0.08123,0.00575,0.00062,9e-05,1e-05,1e-05,7e-05,0.0,0.00161,0.78726,0.88889,6.92458
Dem. Rep. of Congo,1.0,0.17782,0.01493,0.00249,0.00017,0.0,1e-05,0.00016,0.0,0.00481,1.25794,1.34275,6.57972
South Africa,1.0,0.13362,0.01757,0.00203,0.0001,0.0,1e-05,9e-05,0.0,0.00537,1.06545,1.22265,6.56159
Iraq,1.0,0.07213,0.00979,0.00122,0.0001,0.0,0.0,0.0001,0.0,0.00129,0.74162,0.81442,6.88413
Qatar,1.0,0.14903,0.00962,0.00065,3e-05,0.0,0.0,3e-05,0.0,0.0022,1.11455,1.16494,6.70514
Curacao,1.0,0.09225,0.00577,0.0005,1e-05,0.0,0.0,1e-05,0.0,0.00105,0.83978,0.88118,6.95752
Wales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ukraine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Suriname,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slovakia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Romania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Republic of Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Macedonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Caledonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kosovo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamaica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Italy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denmark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bolivia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
